"","GENE_ID","ADJ_PVAL"
"1","ENSG00000227389",3.61123081666897e-299
"2","ENSG00000249965",6.52310918623307e-257
"3","ENSG00000275543",5.59100654775752e-233
"4","ENSG00000003756",5.91448011811627e-232
"5","ENSG00000271269",9.75334092593106e-206
"6","ENSG00000228782",7.32791629126301e-176
